EPOCHS,BATCH,ACCURACY,VAL_ACCURACY,LOSS,VAL_LOSS,ROC,PR,VAL_ROC,VAL_PR,PRECISION,RECALL,VAL_PRECISION,VAL_RECALL,BIN_ACC,VAL_BIN_ACC,LR
0,64,0.6695770621299744,0.2400234341621399,0.0011869098525494337,0.0016019328031688929,0.7251253128051758,0.7087259888648987,0.21488113701343536,0.352552592754364,0.6695839762687683,0.6695839762687683,0.24002403020858765,0.24002403020858765,0.6695770621299744,0.2400234341621399,9.999999747378752e-05
1,64,0.6861499547958374,0.2578665018081665,0.0011509887408465147,0.0015936805866658688,0.7468249201774597,0.7325404286384583,0.23131109774112701,0.35782551765441895,0.6861568093299866,0.6861568093299866,0.2578665614128113,0.2578665614128113,0.6861499547958374,0.2578665018081665,9.999999747378752e-05
2,64,0.6917818188667297,0.24467366933822632,0.0011393810855224729,0.0016623265109956264,0.753724992275238,0.7400199770927429,0.2144465297460556,0.3516985774040222,0.6917868256568909,0.6917868256568909,0.2446739673614502,0.2446739673614502,0.6917818188667297,0.24467366933822632,9.999999747378752e-05
3,64,0.6998088359832764,0.298038125038147,0.0011199160944670439,0.0016342434100806713,0.7646012902259827,0.7512175440788269,0.2839665412902832,0.3832836151123047,0.6998119950294495,0.6998117566108704,0.29803821444511414,0.29803821444511414,0.6998087167739868,0.298038125038147,1.9999999494757503e-05
4,64,0.7026674151420593,0.3043130934238434,0.0011137950932607055,0.0016325939213857055,0.7682583928108215,0.7547101378440857,0.2896883487701416,0.3855104148387909,0.7026742100715637,0.7026742100715637,0.30431318283081055,0.30431318283081055,0.7026674151420593,0.3043130934238434,1.9999999494757503e-05
5,64,0.7039358615875244,0.3602752387523651,0.0011100382544100285,0.001565042301081121,0.7701860666275024,0.7569029927253723,0.3544875681400299,0.42139092087745667,0.7039432525634766,0.7039432525634766,0.360275536775589,0.360275536775589,0.7039358615875244,0.3602752387523651,3.999999989900971e-06
6,64,0.7051510214805603,0.3622317910194397,0.0011081508127972484,0.0015621380880475044,0.7714336514472961,0.7578767538070679,0.356430321931839,0.42229384183883667,0.7051559090614319,0.7051557898521423,0.3622322082519531,0.3622322082519531,0.7051509618759155,0.3622317910194397,3.999999989900971e-06
7,64,0.7054954171180725,0.36075982451438904,0.0011065241415053606,0.0015704325633123517,0.7722802758216858,0.7589088678359985,0.35366642475128174,0.4204460382461548,0.705502986907959,0.705502986907959,0.36076003313064575,0.36076003313064575,0.7054954171180725,0.36075982451438904,8.000000093488779e-07
8,64,0.7058826088905334,0.36221665143966675,0.0011060599936172366,0.001569716027006507,0.7725784778594971,0.7591288089752197,0.3557884991168976,0.4217923581600189,0.7058871984481812,0.7058871984481812,0.36221686005592346,0.36221686005592346,0.7058826088905334,0.36221665143966675,8.000000093488779e-07
9,64,0.7075052857398987,0.3555009067058563,0.0011049694148823619,0.0015840502455830574,0.7732914686203003,0.7597389817237854,0.34771817922592163,0.41727906465530396,0.707511842250824,0.707511842250824,0.355501264333725,0.355501264333725,0.7075052857398987,0.3555009067058563,1.5999999902760464e-07
