EPOCHS,BATCH,ACCURACY,VAL_ACCURACY,LOSS,VAL_LOSS,ROC,PR,VAL_ROC,VAL_PR,PRECISION,RECALL,VAL_PRECISION,VAL_RECALL,BIN_ACC,VAL_BIN_ACC,LR,TRUE_POSITIVES,TRUE_NEGATIVES,FALSE_POSITIVES,FALSE_NEGATIVES,VAL_TRUE_POSITIVES,VAL_TRUE_NEGATIVES,VAL_FALSE_POSITIVES,VAL_FALSE_NEGATIVES
0,64,0.8633012771606445,0.10000088065862656,0.0003384753654245287,0.01697990670800209,0.9162809252738953,0.9028398990631104,0.09708458185195923,0.3204844295978546,0.8633008599281311,0.8633008599281311,0.10000088065862656,0.10000088065862656,0.8633012771606445,0.10000088065862656,9.999999747378752e-05,1326.0,1326.0,8042.0,8042.0,84.0,84.0,641.0,641.0
1,64,0.9411152601242065,0.6871894598007202,0.000191385333891958,0.0018534892005845904,0.9616554975509644,0.9521059989929199,0.7488241791725159,0.7315436601638794,0.9411149621009827,0.9411149621009827,0.687189519405365,0.687189519405365,0.9411152601242065,0.6871894598007202,9.999999747378752e-05,2606.0,2606.0,6762.0,6762.0,496.0,496.0,229.0,229.0
2,64,0.9340928196907043,0.45023980736732483,0.00016562615928705782,0.004215249791741371,0.965950071811676,0.9603937864303589,0.39239275455474854,0.4207618236541748,0.9340927600860596,0.9340927600860596,0.45023980736732483,0.45023980736732483,0.9340929388999939,0.45023980736732483,9.999999747378752e-05,3286.0,3286.0,6082.0,6082.0,346.0,346.0,379.0,379.0
3,64,0.911868155002594,0.3316155672073364,0.0001512253365945071,0.005892991088330746,0.9719453454017639,0.9679651856422424,0.2579752802848816,0.36193591356277466,0.9118677973747253,0.9118677973747253,0.3316155672073364,0.3316155672073364,0.911868155002594,0.3316155672073364,9.999999747378752e-05,3260.0,3260.0,6108.0,6108.0,249.0,249.0,476.0,476.0
4,64,0.9292968511581421,0.32681897282600403,0.0001407979434588924,0.00566088454797864,0.9754987955093384,0.9729628562927246,0.25650766491889954,0.3618135154247284,0.9292964935302734,0.9292964935302734,0.32681897282600403,0.32681897282600403,0.9292968511581421,0.32681897282600403,1.9999999494757503e-05,3386.0,3386.0,5982.0,5982.0,241.0,241.0,484.0,484.0
5,64,0.9478210806846619,0.4124090075492859,0.00011185511539224535,0.004635658115148544,0.980578601360321,0.9779784679412842,0.3395080864429474,0.39642906188964844,0.947820782661438,0.947820782661438,0.4124090075492859,0.4124090075492859,0.9478211402893066,0.4124089777469635,1.9999999494757503e-05,3797.0,3797.0,5571.0,5571.0,304.0,304.0,421.0,421.0
6,64,0.9573779106140137,0.432096928358078,9.933690307661891e-05,0.004316489677876234,0.9837043285369873,0.9815910458564758,0.3761105537414551,0.41430819034576416,0.9573776721954346,0.9573776721954346,0.4320969581604004,0.4320969581604004,0.9573779106140137,0.432096928358078,3.999999989900971e-06,4180.0,4180.0,5188.0,5188.0,317.0,317.0,408.0,408.0
7,64,0.9585524201393127,0.44464659690856934,9.744824637891725e-05,0.004114244133234024,0.984058141708374,0.9820302724838257,0.4008132219314575,0.42657577991485596,0.9585520625114441,0.9585520625114441,0.44464653730392456,0.44464653730392456,0.9585524201393127,0.44464659690856934,3.999999989900971e-06,4427.0,4427.0,4941.0,4941.0,327.0,327.0,398.0,398.0
8,64,0.9579353332519531,0.44735610485076904,9.973654960049316e-05,0.004086376167833805,0.9833284020423889,0.9810518026351929,0.40428224205970764,0.4284956753253937,0.9579348564147949,0.9579348564147949,0.44735610485076904,0.44735610485076904,0.9579353332519531,0.44735610485076904,8.000000093488779e-07,4406.0,4406.0,4962.0,4962.0,329.0,329.0,396.0,396.0
9,64,0.9573784470558167,0.4510903060436249,9.634257003199309e-05,0.0040475232526659966,0.984205961227417,0.9820045828819275,0.40958383679389954,0.43143731355667114,0.957378089427948,0.957378089427948,0.4510903060436249,0.4510903060436249,0.9573784470558167,0.4510903060436249,8.000000093488779e-07,4478.0,4478.0,4890.0,4890.0,331.0,331.0,394.0,394.0
